sample_ID,location,treatment,soiltype,replicate,hrs_incubated,mgC,year_inc,year_col
NO OS,N,O,OS,1,0,0.000557235,2016,2015
NC OS,N,C,OS,1,0,0.000601606,2016,2015
NMW OS,N,MW,OS,1,0,0.000602366,2016,2015
NMWC OS,N,MWC,OS,1,0,0.000548022,2016,2015
CO OS,C,O,OS,1,0,0.000527907,2016,2015
CC OS,C,C,OS,1,0,0.000591802,2016,2015
CMW OS,C,MW,OS,1,0,0.000552586,2016,2015
CMWC OS,C,MWC,OS,1,0,0.000544135,2016,2015
SO OS,S,O,OS,1,0,0.000519287,2016,2015
SC OS,S,C,OS,1,0,0.000517089,2016,2015
SMW OS,S,MW,OS,1,0,0.000525034,2016,2015
SMWC OS,S,MWC,OS,1,0,0.000517427,2016,2015
NO UT,N,O,UT,1,0,0.000515399,2016,2015
NC UT,N,C,UT,1,0,0.000612846,2016,2015
NMW UT,N,MW,UT,1,0,0.000589351,2016,2015
NMWC UT,N,MWC,UT,1,0,0.000543205,2016,2015
CO UT,C,O,UT,1,0,0.00052047,2016,2015
CC UT,C,C,UT,1,0,0.000515314,2016,2015
CMW UT,C,MW,UT,1,0,0.000521062,2016,2015
CMWC UT,C,MWC,UT,1,0,0.000516498,2016,2015
SO UT,S,O,UT,1,0,0.000511511,2016,2015
SC UT,S,C,UT,1,0,0.000517089,2016,2015
SMW UT,S,MW,UT,1,0,0.000521907,2016,2015
SMWC UT,S,MWC,UT,1,0,0.00051168,2016,2015
NO OM,N,O,OM,1,0,0.000581829,2016,2015
NC OM,N,C,OM,1,0,0.000542106,2016,2015
NMW OM,N,MW,OM,1,0,0.000540669,2016,2015
NMWC OM,N,MWC,OM,1,0,0.000540838,2016,2015
CO OM,C,O,OM,1,0,0.000512187,2016,2015
CC OM,C,C,OM,1,0,0.000560108,2016,2015
CMW OM,C,MW,OM,1,0,0.000547515,2016,2015
CMWC OM,C,MWC,OM,1,0,0.000541176,2016,2015
SO OM,S,O,OM,1,0,0.000562136,2016,2015
SC OM,S,C,OM,1,0,0.000604479,2016,2015
SMW OM,S,MW,OM,1,0,0.000546501,2016,2015
SMWC OM,S,MWC,OM,1,0,0.000537035,2016,2015
NO OS,N,O,OS,1,1,0.000658399,2016,2015
NC OS,N,C,OS,1,1,0.000703862,2016,2015
NMW OS,N,MW,OS,1,1,0.000687807,2016,2015
NMWC OS,N,MWC,OS,1,1,0.000654458,2016,2015
CO OS,C,O,OS,1,1,0.000610746,2016,2015
CC OS,C,C,OS,1,1,0.000754725,2016,2015
CMW OS,C,MW,OS,1,1,0.000610017,2016,2015
CMWC OS,C,MWC,OS,1,1,0.00063096,2016,2015
SO OS,S,O,OS,1,1,0.000762095,2016,2015
SC OS,S,C,OS,1,1,0.000618701,2016,2015
SMW OS,S,MW,OS,1,1,0.000581192,2016,2015
SMWC OS,S,MWC,OS,1,1,0.000605054,2016,2015
NO UT,N,O,UT,1,1,0.000660588,2016,2015
NC UT,N,C,UT,1,1,0.000706635,2016,2015
NMW UT,N,MW,UT,1,1,0.000792598,2016,2015
NMWC UT,N,MWC,UT,1,1,0.000705029,2016,2015
CO UT,C,O,UT,1,1,0.000747865,2016,2015
CC UT,C,C,UT,1,1,0.000686202,2016,2015
CMW UT,C,MW,UT,1,1,0.000663872,2016,2015
CMWC UT,C,MWC,UT,1,1,0.000608411,2016,2015
SO UT,S,O,UT,1,1,0.000632128,2016,2015
SC UT,S,C,UT,1,1,0.000619284,2016,2015
SMW UT,S,MW,UT,1,1,0.000613301,2016,2015
SMWC UT,S,MWC,UT,1,1,0.000580462,2016,2015
NO OM,N,O,OM,1,1,0.000669272,2016,2015
NC OM,N,C,OM,1,1,0.000618044,2016,2015
NMW OM,N,MW,OM,1,1,0.000650153,2016,2015
NMWC OM,N,MWC,OM,1,1,0.000650955,2016,2015
CO OM,C,O,OM,1,1,0.000612936,2016,2015
CC OM,C,C,OM,1,1,0.000616657,2016,2015
CMW OM,C,MW,OM,1,1,0.000623663,2016,2015
CMWC OM,C,MWC,OM,1,1,0.000608046,2016,2015
SO OM,S,O,OM,1,1,0.000621547,2016,2015
SC OM,S,C,OM,1,1,0.000662704,2016,2015
SMW OM,S,MW,OM,1,1,0.000618263,2016,2015
SMWC OM,S,MWC,OM,1,1,0.000596516,2016,2015
NO OS,N,O,OS,1,4,0.000822481,2016,2015
NC OS,N,C,OS,1,4,0.000791572,2016,2015
NMW OS,N,MW,OS,1,4,0.000784342,2016,2015
NMWC OS,N,MWC,OS,1,4,0.000784276,2016,2015
CO OS,C,O,OS,1,4,0.000706007,2016,2015
CC OS,C,C,OS,1,4,0.000983462,2016,2015
CMW OS,C,MW,OS,1,4,0.000689292,2016,2015
CMWC OS,C,MWC,OS,1,4,0.000740299,2016,2015
SO OS,S,O,OS,1,4,0.001078976,2016,2015
SC OS,S,C,OS,1,4,0.000741162,2016,2015
SMW OS,S,MW,OS,1,4,0.000664153,2016,2015
SMWC OS,S,MWC,OS,1,4,0.0007533,2016,2015
NO UT,N,O,UT,1,4,0.000859625,2016,2015
NC UT,N,C,UT,1,4,0.000838599,2016,2015
NMW UT,N,MW,UT,1,4,0.00106644,2016,2015
NMWC UT,N,MWC,UT,1,4,0.000938358,2016,2015
CO UT,C,O,UT,1,4,0.001077981,2016,2015
CC UT,C,C,UT,1,4,0.000994804,2016,2015
CMW UT,C,MW,UT,1,4,0.000885162,2016,2015
CMWC UT,C,MWC,UT,1,4,0.000740167,2016,2015
SO UT,S,O,UT,1,4,0.000808419,2016,2015
SC UT,S,C,UT,1,4,0.000775387,2016,2015
SMW UT,S,MW,UT,1,4,0.000774392,2016,2015
SMWC UT,S,MWC,UT,1,4,0.000682659,2016,2015
NO OM,N,O,OM,1,4,0.000803113,2016,2015
NC OM,N,C,OM,1,4,0.000749983,2016,2015
NMW OM,N,MW,OM,1,4,0.00084563,2016,2015
NMWC OM,N,MWC,OM,1,4,0.000908046,2016,2015
CO OM,C,O,OM,1,4,0.000789648,2016,2015
CC OM,C,C,OM,1,4,0.000749121,2016,2015
CMW OM,C,MW,OM,1,4,0.000846227,2016,2015
CMWC OM,C,MWC,OM,1,4,0.000704747,2016,2015
SO OM,S,O,OM,1,4,0.000754427,2016,2015
SC OM,S,C,OM,1,4,0.000809879,2016,2015
SMW OM,S,MW,OM,1,4,0.000794888,2016,2015
SMWC OM,S,MWC,OM,1,4,0.000700104,2016,2015
NO OS,N,O,OS,1,24,0.001412991,2016,2015
NC OS,N,C,OS,1,24,0.001216867,2016,2015
NMW OS,N,MW,OS,1,24,0.001226677,2016,2015
NMWC OS,N,MWC,OS,1,24,0.001282578,2016,2015
CO OS,C,O,OS,1,24,0.001227416,2016,2015
CC OS,C,C,OS,1,24,0.002236118,2016,2015
CMW OS,C,MW,OS,1,24,0.001154315,2016,2015
CMWC OS,C,MWC,OS,1,24,0.001357291,2016,2015
SO OS,S,O,OS,1,24,0.002453809,2016,2015
SC OS,S,C,OS,1,24,0.001402442,2016,2015
SMW OS,S,MW,OS,1,24,0.001074898,2016,2015
SMWC OS,S,MWC,OS,1,24,0.001426563,2016,2015
NO UT,N,O,UT,1,24,0.001522105,2016,2015
NC UT,N,C,UT,1,24,0.001316441,2016,2015
NMW UT,N,MW,UT,1,24,0.001966961,2016,2015
NMWC UT,N,MWC,UT,1,24,0.001711778,2016,2015
CO UT,C,O,UT,1,24,0.002544917,2016,2015
CC UT,C,C,UT,1,24,0.002190027,2016,2015
CMW UT,C,MW,UT,1,24,0.001868059,2016,2015
CMWC UT,C,MWC,UT,1,24,0.001349699,2016,2015
SO UT,S,O,UT,1,24,0.001436372,2016,2015
SC UT,S,C,UT,1,24,0.001455656,2016,2015
SMW UT,S,MW,UT,1,24,0.001442151,2016,2015
SMWC UT,S,MWC,UT,1,24,0.001145244,2016,2015
NO OM,N,O,OM,1,24,0.001378657,2016,2015
NC OM,N,C,OM,1,24,0.00130858,2016,2015
NMW OM,N,MW,OM,1,24,0.001504434,2016,2015
NMWC OM,N,MWC,OM,1,24,0.001966759,2016,2015
CO OM,C,O,OM,1,24,0.001816929,2016,2015
CC OM,C,C,OM,1,24,0.001977845,2016,2015
CMW OM,C,MW,OM,1,24,0.00192013,2016,2015
CMWC OM,C,MWC,OM,1,24,0.001327057,2016,2015
SO OM,S,O,OM,1,24,0.00141252,2016,2015
SC OM,S,C,OM,1,24,0.001458209,2016,2015
SMW OM,S,MW,OM,1,24,0.001443763,2016,2015
SMWC OM,S,MWC,OM,1,24,0.001201212,2016,2015
NO OS,N,O,OS,1,49,0.001884084,2016,2015
NC OS,N,C,OS,1,49,0.001561394,2016,2015
NMW OS,N,MW,OS,1,49,0.001550993,2016,2015
NMWC OS,N,MWC,OS,1,49,0.001691617,2016,2015
CO OS,C,O,OS,1,49,0.001949423,2016,2015
CC OS,C,C,OS,1,49,0.003754431,2016,2015
CMW OS,C,MW,OS,1,49,0.001666388,2016,2015
CMWC OS,C,MWC,OS,1,49,0.002154341,2016,2015
SO OS,S,O,OS,1,49,0.003586733,2016,2015
SC OS,S,C,OS,1,49,0.001986264,2016,2015
SMW OS,S,MW,OS,1,49,0.001393952,2016,2015
SMWC OS,S,MWC,OS,1,49,0.001922033,2016,2015
NO UT,N,O,UT,1,49,0.002051268,2016,2015
NC UT,N,C,UT,1,49,0.001758306,2016,2015
NMW UT,N,MW,UT,1,49,0.00271847,2016,2015
NMWC UT,N,MWC,UT,1,49,0.002370659,2016,2015
CO UT,C,O,UT,1,49,0.004327122,2016,2015
CC UT,C,C,UT,1,49,0.003972247,2016,2015
CMW UT,C,MW,UT,1,49,0.002958901,2016,2015
CMWC UT,C,MWC,UT,1,49,0.002026812,2016,2015
SO UT,S,O,UT,1,49,0.001881513,2016,2015
SC UT,S,C,UT,1,49,0.002071311,2016,2015
SMW UT,S,MW,UT,1,49,0.001964622,2016,2015
SMWC UT,S,MWC,UT,1,49,0.001531032,2016,2015
NO OM,N,O,OM,1,49,0.001884756,2016,2015
NC OM,N,C,OM,1,49,0.001735343,2016,2015
NMW OM,N,MW,OM,1,49,0.00205086,2016,2015
NMWC OM,N,MWC,OM,1,49,0.002828611,2016,2015
CO OM,C,O,OM,1,49,0.00295356,2016,2015
CC OM,C,C,OM,1,49,0.002859082,2016,2015
CMW OM,C,MW,OM,1,49,0.002847793,2016,2015
CMWC OM,C,MWC,OM,1,49,0.001996715,2016,2015
SO OM,S,O,OM,1,49,0.001933028,2016,2015
SC OM,S,C,OM,1,49,0.002097989,2016,2015
SMW OM,S,MW,OM,1,49,0.001947286,2016,2015
SMWC OM,S,MWC,OM,1,49,0.001793717,2016,2015
NO OS,N,O,OS,1,73,0.002272569,2016,2015
NC OS,N,C,OS,1,73,0.001829985,2016,2015
NMW OS,N,MW,OS,1,73,0.001792203,2016,2015
NMWC OS,N,MWC,OS,1,73,0.001992931,2016,2015
CO OS,C,O,OS,1,73,0.002676783,2016,2015
CC OS,C,C,OS,1,73,0.005372953,2016,2015
CMW OS,C,MW,OS,1,73,0.002120843,2016,2015
CMWC OS,C,MWC,OS,1,73,0.002987364,2016,2015
SO OS,S,O,OS,1,73,0.004436462,2016,2015
SC OS,S,C,OS,1,73,0.002344795,2016,2015
SMW OS,S,MW,OS,1,73,0.001626029,2016,2015
SMWC OS,S,MWC,OS,1,73,0.002232978,2016,2015
NO UT,N,O,UT,1,73,0.002505147,2016,2015
NC UT,N,C,UT,1,73,0.002124171,2016,2015
NMW UT,N,MW,UT,1,73,0.00334706,2016,2015
NMWC UT,N,MWC,UT,1,73,0.002910385,2016,2015
CO UT,C,O,UT,1,73,0.005366474,2016,2015
CC UT,C,C,UT,1,73,0.005359807,2016,2015
CMW UT,C,MW,UT,1,73,0.003562309,2016,2015
CMWC UT,C,MWC,UT,1,73,0.002675553,2016,2015
SO UT,S,O,UT,1,73,0.002267852,2016,2015
SC UT,S,C,UT,1,73,0.002447389,2016,2015
SMW UT,S,MW,UT,1,73,0.00236866,2016,2015
SMWC UT,S,MWC,UT,1,73,0.00177948,2016,2015
NO OM,N,O,OM,1,73,0.002263197,2016,2015
NC OM,N,C,OM,1,73,0.002049355,2016,2015
NMW OM,N,MW,OM,1,73,0.002511914,2016,2015
NMWC OM,N,MWC,OM,1,73,0.003488351,2016,2015
CO OM,C,O,OM,1,73,0.003696174,2016,2015
CC OM,C,C,OM,1,73,0.003451402,2016,2015
CMW OM,C,MW,OM,1,73,0.003450334,2016,2015
CMWC OM,C,MWC,OM,1,73,0.002480905,2016,2015
SO OM,S,O,OM,1,73,0.002267696,2016,2015
SC OM,S,C,OM,1,73,0.002583498,2016,2015
SMW OM,S,MW,OM,1,73,0.002343975,2016,2015
SMWC OM,S,MWC,OM,1,73,0.002337673,2016,2015
NO OS,N,O,OS,1,98,0.002600433,2016,2015
NC OS,N,C,OS,1,98,0.002061148,2016,2015
NMW OS,N,MW,OS,1,98,0.001991754,2016,2015
NMWC OS,N,MWC,OS,1,98,0.002251775,2016,2015
CO OS,C,O,OS,1,98,0.003287936,2016,2015
CC OS,C,C,OS,1,98,0.006191109,2016,2015
CMW OS,C,MW,OS,1,98,0.002326057,2016,2015
CMWC OS,C,MWC,OS,1,98,0.003813791,2016,2015
SO OS,S,O,OS,1,98,0.005158107,2016,2015
SC OS,S,C,OS,1,98,0.002643702,2016,2015
SMW OS,S,MW,OS,1,98,0.001814212,2016,2015
SMWC OS,S,MWC,OS,1,98,0.002484721,2016,2015
NO UT,N,O,UT,1,98,0.002880672,2016,2015
NC UT,N,C,UT,1,98,0.002437888,2016,2015
NMW UT,N,MW,UT,1,98,0.003873141,2016,2015
NMWC UT,N,MWC,UT,1,98,0.003361864,2016,2015
CO UT,C,O,UT,1,98,0.006003858,2016,2015
CC UT,C,C,UT,1,98,0.00623553,2016,2015
CMW UT,C,MW,UT,1,98,0.004035763,2016,2015
CMWC UT,C,MWC,UT,1,98,0.00308519,2016,2015
SO UT,S,O,UT,1,98,0.002593211,2016,2015
SC UT,S,C,UT,1,98,0.002746364,2016,2015
SMW UT,S,MW,UT,1,98,0.00270749,2016,2015
SMWC UT,S,MWC,UT,1,98,0.001979172,2016,2015
NO OM,N,O,OM,1,98,0.002596214,2016,2015
NC OM,N,C,OM,1,98,0.002312884,2016,2015
NMW OM,N,MW,OM,1,98,0.002887948,2016,2015
NMWC OM,N,MWC,OM,1,98,0.004011796,2016,2015
CO OM,C,O,OM,1,98,0.004244993,2016,2015
CC OM,C,C,OM,1,98,0.003802696,2016,2015
CMW OM,C,MW,OM,1,98,0.003953503,2016,2015
CMWC OM,C,MWC,OM,1,98,0.002824857,2016,2015
SO OM,S,O,OM,1,98,0.002577927,2016,2015
SC OM,S,C,OM,1,98,0.002869253,2016,2015
SMW OM,S,MW,OM,1,98,0.002678368,2016,2015
SMWC OM,S,MWC,OM,1,98,0.002667278,2016,2015
NO OS,N,O,OS,1,122,0.002694886,2016,2015
NC OS,N,C,OS,1,122,0.002138701,2016,2015
NMW OS,N,MW,OS,1,122,0.002091104,2016,2015
NMWC OS,N,MWC,OS,1,122,0.002420857,2016,2015
CO OS,C,O,OS,1,122,0.003579042,2016,2015
CC OS,C,C,OS,1,122,0.00661149,2016,2015
CMW OS,C,MW,OS,1,122,0.002392116,2016,2015
CMWC OS,C,MWC,OS,1,122,0.004466318,2016,2015
SO OS,S,O,OS,1,122,0.005772361,2016,2015
